sourceLogicalName,targetLogicalName,sourceLabel,targetLabel,sourceType,targetType,targetExists,targetFormTab,targetSection,columnIndex,rowIndex,displayOrder,headerPlacement,viewPlacement,metadataOnly,simulationType,typeMismatch,specialControl,visible,disabled,readOnlyRecommendation,safeContextPolicy,providerPayloadPolicy
"name","name","案件名称","Topic","string","String","true","摘要","商机信息","0","0","1","systemTitle","true","false","none","false","text","true","false","editable","sanitized_summary","sanitized_summary_only"
"parentaccountid","parentaccountid","客户","Account","lookup","Lookup","true","摘要","商机信息","1","0","2","false","true","false","none","false","lookup","true","false","editable","token_or_exclude","token_only"
"statuscode","statuscode","状态描述","Status Reason","optionset","Status","true","摘要","商机信息","0","1","3","false","false","false","none","false","text","true","false","editable","choice_label","choice_label_only"
"parentcontactid","parentcontactid","联系人1","Contact","lookup","Lookup","true","摘要","商机信息","1","1","4","false","true","false","none","false","lookup","true","false","editable","token_or_exclude","token_only"
"new_parentcontactid2","aigw_customercontact2","客户担当2","客户担当2","lookup","String","true","摘要","商机信息","0","2","5","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","token_or_exclude","token_only"
"new_parentcontactid3","aigw_customercontact3","客户担当3","客户担当3","lookup","String","true","摘要","商机信息","1","2","6","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","token_or_exclude","token_only"
"new_parentcontactid4","aigw_customercontact4","客户担当4","客户担当4","lookup","String","true","摘要","商机信息","0","3","7","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","token_or_exclude","token_only"
"new_parentcontactid5","aigw_customercontact5","客户担当5","客户担当5","lookup","String","true","摘要","商机信息","1","3","8","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","token_or_exclude","token_only"
"new_organization_group","aigw_organizationgroup_choice","组织团体","组织团体","optionset","Picklist","true","摘要","商机信息","0","4","9","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_related_department","aigw_bookingdepartment_choice","计上部门","计上部门","optionset","Picklist","true","摘要","商机信息","1","4","10","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_bd_newexisting","aigw_opportunitytype","案件类型","案件类型","optionset","Picklist","true","摘要","商机信息","0","5","11","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_status","aigw_casestage","案件状态","案件状态","optionset","Picklist","true","摘要","商机信息","1","5","12","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_bd_group","aigw_salesdepartment_choice","销售部门","销售部门","optionset","Picklist","true","摘要","商机信息","0","6","13","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_bd_relation","aigw_opportunityrelationship","案件关系","案件关系","optionset","Picklist","true","摘要","商机信息","1","6","14","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_bd_details","aigw_opportunitydetailtype","案件详细信息","案件详细信息","optionset","Picklist","true","摘要","商机信息","0","7","15","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_startdate","aigw_startdate","案件开始日","案件开始日","datetime","DateTime","true","摘要","商机信息","1","7","16","false","true","false","none","false","date","true","false","editable","exclude","exclude"
"new_location","aigw_opportunityplace","案件场所","案件场所","lookup","String","true","摘要","商机信息","0","8","17","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","region_or_mode_only","exclude"
"description","description","说明","Description","memo","Memo","true","摘要","商机信息","1","8","18","false","false","false","none","false","textarea","true","false","editable","sanitized_summary","sanitized_summary_only"
"new_pipeline_list","aigw_opportunitylist_bool","案件列表","案件列表","boolean","Boolean","true","摘要","商机信息","0","9","19","false","true","false","none","false","boolean","true","false","editable","choice_label","choice_label_only"
"transactioncurrencyid","transactioncurrencyid","货币","Currency","lookup","Lookup","true","摘要","商机信息","1","9","20","false","false","false","none","false","lookup","true","false","editable","region_or_mode_only","exclude"
"new_sales","aigw_sales","营业负责人","营业负责人","lookup","String","true","摘要","Sales Person Info","0","0","1","false","true","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","token_or_exclude","token_only"
"new_sales2","aigw_salesperson2","营业负责人2","营业负责人2","lookup","String","true","摘要","Sales Person Info","1","0","2","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","region_or_mode_only","exclude"
"new_sales3","aigw_salesperson3","营业负责人3","营业负责人3","lookup","String","true","摘要","Sales Person Info","0","1","3","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","region_or_mode_only","exclude"
"new_sales4","aigw_salesperson4","营业负责人4","营业负责人4","lookup","String","true","摘要","Sales Person Info","1","1","4","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","region_or_mode_only","exclude"
"new_sales5","aigw_introducer","介绍人","介绍人","lookup","String","true","摘要","Sales Person Info","0","2","5","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","region_or_mode_only","exclude"
"new_global_initiative_key","aigw_globalinitiative","全球倡议","全球倡议","optionset","Picklist","true","摘要","商机详细信息","0","0","1","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_alps_collaboration_key","aigw_alpscooperation","阿尔卑斯合作","阿尔卑斯合作","boolean","Boolean","true","摘要","商机详细信息","1","0","2","false","true","false","none","false","boolean","true","false","editable","choice_label","choice_label_only"
"new_goods_handled","aigw_goodshandled","货物说明","货物说明","optionset","Picklist","true","摘要","商机详细信息","0","1","3","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_project_size","aigw_projectsize","案件物量规模","案件物量规模","decimal","Decimal","true","摘要","商机详细信息","1","1","4","false","false","false","none","false","decimal","true","false","editable","exclude","exclude"
