logicalName,schemaName,displayName1033,displayName2052,attributeType,optionSetName,isCustomAttribute,isManaged,currentRequiredLevel,inFullReplicaForm,formControlLabel1033,formControlLabel2052,designerDisplayName,hasDuplicateDisplayName,duplicateLogicalNames,uniqueIdentification
"parentaccountid","ParentAccountId","Account","帐户","Lookup","","false","true","None","true","Customer","客户","帐户","true","accountid","Logical name: parentaccountid; Schema name: ParentAccountId; Use schema/logical name to distinguish from: accountid"
"aigw_organizationgroup_choice","aigw_organizationgroup_choice","组织团体","组织团体","Picklist","new_opportunity_aigw_organizationgroup_choice","true","false","None","true","组织团体","组织团体","组织团体","true","aigw_organizationgroup","Logical name: aigw_organizationgroup_choice; Schema name: aigw_organizationgroup_choice; Use schema/logical name to distinguish from: aigw_organizationgroup"
"aigw_bookingdepartment_choice","aigw_bookingdepartment_choice","计上部门","计上部门","Picklist","new_opportunity_aigw_bookingdepartment_choice","true","false","None","true","计上部门","计上部门","计上部门","true","aigw_bookingdepartment","Logical name: aigw_bookingdepartment_choice; Schema name: aigw_bookingdepartment_choice; Use schema/logical name to distinguish from: aigw_bookingdepartment"
"aigw_opportunitytype","aigw_opportunitytype","案件类型","案件类型","Picklist","aigw_opportunity_aigw_opportunitytype","true","false","None","true","案件类型","案件类型","案件类型","true","new_aigopportunitytype","Logical name: aigw_opportunitytype; Schema name: aigw_opportunitytype; Use schema/logical name to distinguish from: new_aigopportunitytype"
"aigw_casestage","aigw_casestage","案件状态","案件状态","Picklist","aigw_opportunity_aigw_casestage","true","false","None","true","案件状态","案件状态","案件状态","true","new_aigopportunitystage","Logical name: aigw_casestage; Schema name: aigw_casestage; Use schema/logical name to distinguish from: new_aigopportunitystage"
"aigw_salesdepartment_choice","aigw_salesdepartment_choice","销售部门","销售部门","Picklist","new_opportunity_aigw_salesdepartment_choice","true","false","None","true","销售部门","销售部门","销售部门","true","aigw_salesdepartment","Logical name: aigw_salesdepartment_choice; Schema name: aigw_salesdepartment_choice; Use schema/logical name to distinguish from: aigw_salesdepartment"
"aigw_opportunitydetailtype","aigw_opportunitydetailtype","案件详细信息","案件详细信息","Picklist","aigw_opportunity_aigw_opportunitydetailtype","true","false","Recommended","true","案件详细信息","案件详细信息","案件详细信息","true","new_aigopportunitydetailtype","Logical name: aigw_opportunitydetailtype; Schema name: aigw_opportunitydetailtype; Use schema/logical name to distinguish from: new_aigopportunitydetailtype"
"aigw_startdate","aigw_startdate","案件开始日","案件开始日","DateTime","","true","false","None","true","案件开始日","案件开始日","案件开始日","false","","Logical name: aigw_startdate; Schema name: aigw_startdate"
"aigw_opportunityplace","aigw_opportunityplace","案件场所","案件场所","String","","true","false","None","true","案件场所","案件场所","案件场所","false","","Logical name: aigw_opportunityplace; Schema name: aigw_opportunityplace"
"description","Description","Description","说明","Memo","","false","true","None","true","Description","说明","说明","false","","Logical name: description; Schema name: Description"
"aigw_opportunitylist_bool","aigw_opportunitylist_bool","案件列表","案件列表","Boolean","","true","false","None","true","案件列表","案件列表","案件列表","true","aigw_opportunitylist","Logical name: aigw_opportunitylist_bool; Schema name: aigw_opportunitylist_bool; Use schema/logical name to distinguish from: aigw_opportunitylist"
"aigw_budgetstatus","aigw_budgetstatus","是否预算内","是否预算内","Boolean","","true","false","None","true","是否预算内","是否预算内","是否预算内","true","new_aigbudgetstatus","Logical name: aigw_budgetstatus; Schema name: aigw_budgetstatus; Use schema/logical name to distinguish from: new_aigbudgetstatus"
"aigw_researchbackground_choice","aigw_researchbackground_choice","调查背景","调查背景","Picklist","new_opportunity_aigw_researchbackground_choice","true","false","None","true","调查背景","调查背景","调查背景","true","aigw_researchbackground | new_aigresearchbackground","Logical name: aigw_researchbackground_choice; Schema name: aigw_researchbackground_choice; Use schema/logical name to distinguish from: aigw_researchbackground, new_aigresearchbackground"
"aigw_decider_choice","aigw_decider_choice","决裁者","决裁者","Picklist","new_opportunity_aigw_decider_choice","true","false","None","true","决裁者","决裁者","决裁者","true","aigw_decider","Logical name: aigw_decider_choice; Schema name: aigw_decider_choice; Use schema/logical name to distinguish from: aigw_decider"
"aigw_customerneed_choice","aigw_customerneed_choice","客户需求","客户需求","Picklist","new_opportunity_aigw_customerneed_choice","true","false","None","true","客户需求","客户需求","客户需求","true","aigw_customerneed | customerneed | new_aigcustomerneed","Logical name: aigw_customerneed_choice; Schema name: aigw_customerneed_choice; Use schema/logical name to distinguish from: aigw_customerneed, customerneed, new_aigcustomerneed"
"aigw_proposalcontent_choice","aigw_proposalcontent_choice","提案内容","提案内容","Picklist","new_opportunity_aigw_proposalcontent_choice","true","false","None","true","提案内容","提案内容","提案内容","true","aigw_proposalcontent | new_aigproposalcontent","Logical name: aigw_proposalcontent_choice; Schema name: aigw_proposalcontent_choice; Use schema/logical name to distinguish from: aigw_proposalcontent, new_aigproposalcontent"
"aigw_globalinitiative","Aigw_Globalinitiative","全球倡议","全球倡议","Picklist","new_opportunity_aigw_globalinitiative","true","false","None","true","全球倡议","全球倡议","全球倡议","true","new_aigglobalinitiative","Logical name: aigw_globalinitiative; Schema name: Aigw_Globalinitiative; Use schema/logical name to distinguish from: new_aigglobalinitiative"
"aigw_alpscooperation","Aigw_Alpscooperation","阿尔卑斯合作","阿尔卑斯合作","Boolean","","true","false","None","true","阿尔卑斯合作","阿尔卑斯合作","阿尔卑斯合作","true","new_aigalpscooperation","Logical name: aigw_alpscooperation; Schema name: Aigw_Alpscooperation; Use schema/logical name to distinguish from: new_aigalpscooperation"
"aigw_goodshandled","aigw_goodshandled","货物说明","货物说明","Picklist","aigw_opportunity_aigw_goodshandled","true","false","None","true","货物说明","货物说明","货物说明","true","new_aigcargodescription","Logical name: aigw_goodshandled; Schema name: aigw_goodshandled; Use schema/logical name to distinguish from: new_aigcargodescription"
"aigw_projectsize","aigw_projectsize","案件物量规模","案件物量规模","Decimal","","true","false","None","true","案件物量规模","案件物量规模","案件物量规模","true","new_aigvolumesize","Logical name: aigw_projectsize; Schema name: aigw_projectsize; Use schema/logical name to distinguish from: new_aigvolumesize"
"aigw_projectsizeunit","aigw_projectsizeunit","案件物量规模单位","案件物量规模单位","Picklist","aigw_opportunity_aigw_projectsizeunit","true","false","None","true","案件物量规模单位","案件物量規模单位","案件物量规模单位","false","","Logical name: aigw_projectsizeunit; Schema name: aigw_projectsizeunit"
"aigw_warehousescale","aigw_warehousescale","仓库规模","仓库规模","Picklist","aigw_opportunity_aigw_warehousescale","true","false","None","true","仓库规模","仓库规模","仓库规模","true","new_aigwarehousescale","Logical name: aigw_warehousescale; Schema name: aigw_warehousescale; Use schema/logical name to distinguish from: new_aigwarehousescale"
"aigw_transportmode","aigw_transportmode","运送模式","运送模式","Picklist","aigw_opportunity_aigw_transportmode","true","false","Recommended","true","运送模式","运送模式","运送模式","false","","Logical name: aigw_transportmode; Schema name: aigw_transportmode"
"aigw_spotcontinuous","aigw_spotcontinuous","一次性/持续性","一次性/持续性","Boolean","","true","false","None","true","一次性/持续性","一次性/持续性","一次性/持续性","true","new_aigrecurringtype","Logical name: aigw_spotcontinuous; Schema name: aigw_spotcontinuous; Use schema/logical name to distinguish from: new_aigrecurringtype"
"aigw_sealandpol","Aigw_Sealandpol","海运/陆运装货港","海运/陆运装货港","String","","true","false","None","true","海运/陆运装货港","海运/陆运装货港","海运/陆运装货港","false","","Logical name: aigw_sealandpol; Schema name: Aigw_Sealandpol"
"aigw_sealandpod","Aigw_Sealandpod","海运/陆运卸货港","海运/陆运卸货港","String","","true","false","None","true","海运/陆运卸货港","海运/陆运卸货港","海运/陆运卸货港","false","","Logical name: aigw_sealandpod; Schema name: Aigw_Sealandpod"
"aigw_airpol","Aigw_Airpol","空运装货港","空运装货港","String","","true","false","None","true","空运装货港","空运装货港","空运装货港","false","","Logical name: aigw_airpol; Schema name: Aigw_Airpol"
"aigw_airpod","Aigw_Airpod","空运卸货港","空运卸货港","String","","true","false","None","true","空运卸货港","空运卸货港","空运卸货港","false","","Logical name: aigw_airpod; Schema name: Aigw_Airpod"
"estimatedclosedate","EstimatedCloseDate","Est. close date","预计结束日期","DateTime","","false","true","None","true","Estimated Order Date","预计下单日","预计结束日期","false","","Logical name: estimatedclosedate; Schema name: EstimatedCloseDate"
"aigw_winprobabilityrank","aigw_winprobabilityrank","受注确度","受注确度","Picklist","aigw_opportunity_aigw_winprobabilityrank","true","false","None","true","受注确度","受注确度","受注确度","true","new_aigwinprobability","Logical name: aigw_winprobabilityrank; Schema name: aigw_winprobabilityrank; Use schema/logical name to distinguish from: new_aigwinprobability"
