logicalName,displayLabel,targetType,columnRequiredLevel,formRequiredState,formVisible,businessRuleControlled,currentDemoNullCount,alreadyCompliant,recommendedAction,risk
"name","Topic","String","ApplicationRequired","notExpressedInUnpublishedFormXml","true","false","0","true","retain_global_requirement","ready_for_form_specific_requirement"
"parentaccountid","Account","Lookup","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_organizationgroup_choice","组织团体","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_bookingdepartment_choice","计上部门","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_opportunitytype","案件类型","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_casestage","案件状态","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_salesdepartment_choice","销售部门","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_opportunitydetailtype","案件详细信息","Picklist","Recommended","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_startdate","案件开始日","DateTime","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_opportunityplace","案件场所","String","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"description","Description","Memo","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_opportunitylist_bool","案件列表","Boolean","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"transactioncurrencyid","Currency","Lookup","ApplicationRequired","notExpressedInUnpublishedFormXml","true","false","0","true","retain_global_requirement","ready_for_form_specific_requirement"
"aigw_budgetstatus","是否预算内","Boolean","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_researchbackground_choice","调查背景","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_decider_choice","决裁者","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_customerneed_choice","客户需求","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_proposalcontent_choice","提案内容","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_globalinitiative","全球倡议","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_alpscooperation","阿尔卑斯合作","Boolean","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_goodshandled","货物说明","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_projectsize","案件物量规模","Decimal","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_projectsizeunit","案件物量规模单位","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_warehousescale","仓库规模","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_transportmode","运送模式","Picklist","Recommended","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_spotcontinuous","一次性/持续性","Boolean","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_sealandpol","海运/陆运装货港","String","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_sealandpod","海运/陆运卸货港","String","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_airpol","空运装货港","String","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_airpod","空运卸货港","String","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"estimatedclosedate","Est. close date","DateTime","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
"aigw_winprobabilityrank","受注确度","Picklist","None","notExpressedInUnpublishedFormXml","true","false","0","false","specific_form_business_rule_set_required","ready_for_form_specific_requirement"
