displayOrder,sourceLabel,targetLogicalName,targetExists,targetType,width,fetchAttribute,layoutCell,usesLinkEntity,alias,sort
"1","组织团体","aigw_organizationgroup_choice","true","Picklist","170","aigw_organizationgroup_choice","aigw_organizationgroup_choice","false","",""
"2","销售部门","aigw_salesdepartment_choice","true","Picklist","170","aigw_salesdepartment_choice","aigw_salesdepartment_choice","false","",""
"3","营业负责人","aigw_sales","true","String","150","aigw_sales","aigw_sales","false","",""
"4","案件名称","name","true","String","260","name","name","false","",""
"5","客户名称(中国語)(客户)","aigw_customernamecn","true","String","210","aigw_customernamecn","aigw_customernamecn","false","",""
"6","客户","parentaccountid","true","Lookup","210","parentaccountid","parentaccountid","false","",""
"7","案件开始日","aigw_startdate","true","DateTime","125","aigw_startdate","aigw_startdate","false","",""
"8","是否预算内","aigw_budgetstatus","true","Boolean","120","aigw_budgetstatus","aigw_budgetstatus","false","",""
"9","联系人1","parentcontactid","true","Lookup","150","parentcontactid","parentcontactid","false","",""
"10","客户需求","aigw_customerneed_choice","true","Picklist","180","aigw_customerneed_choice","aigw_customerneed_choice","false","",""
"11","提案内容","aigw_proposalcontent_choice","true","Picklist","200","aigw_proposalcontent_choice","aigw_proposalcontent_choice","false","",""
"12","预计下单日","estimatedclosedate","true","DateTime","130","estimatedclosedate","estimatedclosedate","false","",""
"13","受注日期","actualclosedate","true","DateTime","130","actualclosedate","actualclosedate","false","",""
"14","案件类型","aigw_opportunitytype","true","Picklist","125","aigw_opportunitytype","aigw_opportunitytype","false","",""
"15","案件关系","aigw_opportunityrelationship","true","Picklist","160","aigw_opportunityrelationship","aigw_opportunityrelationship","false","",""
"16","案件状态","aigw_casestage","true","Picklist","145","aigw_casestage","aigw_casestage","false","",""
"17","案件详细信息","aigw_opportunitydetailtype","true","Picklist","160","aigw_opportunitydetailtype","aigw_opportunitydetailtype","false","",""
"18","计上部门","aigw_bookingdepartment_choice","true","Picklist","180","aigw_bookingdepartment_choice","aigw_bookingdepartment_choice","false","",""
"19","案件列表","aigw_opportunitylist_bool","true","Boolean","125","aigw_opportunitylist_bool","aigw_opportunitylist_bool","false","",""
"20","全球倡议","aigw_globalinitiative","true","Picklist","200","aigw_globalinitiative","aigw_globalinitiative","false","",""
"21","阿尔卑斯合作","aigw_alpscooperation","true","Boolean","130","aigw_alpscooperation","aigw_alpscooperation","false","",""
"22","受注确度","aigw_winprobabilityrank","true","Picklist","120","aigw_winprobabilityrank","aigw_winprobabilityrank","false","",""
"23","货物说明","aigw_goodshandled","true","Picklist","150","aigw_goodshandled","aigw_goodshandled","false","",""
"24","案件物量规模单位","aigw_projectsizeunit","true","Picklist","145","aigw_projectsizeunit","aigw_projectsizeunit","false","",""
"25","调查背景","aigw_researchbackground_choice","true","Picklist","180","aigw_researchbackground_choice","aigw_researchbackground_choice","false","",""
"26","仓库规模","aigw_warehousescale","true","Picklist","170","aigw_warehousescale","aigw_warehousescale","false","",""
"27","受注理由","aigw_wonreason_choice","true","Picklist","160","aigw_wonreason_choice","aigw_wonreason_choice","false","",""
"28","失注理由","aigw_lostreason_choice","true","Picklist","160","aigw_lostreason_choice","aigw_lostreason_choice","false","",""
"29","贸易条件","aigw_tradeterms","true","Picklist","130","aigw_tradeterms","aigw_tradeterms","false","",""
"30","海运/陆运卸货港","aigw_sealandpod","true","String","170","aigw_sealandpod","aigw_sealandpod","false","",""
"31","海运/陆运装货港","aigw_sealandpol","true","String","170","aigw_sealandpol","aigw_sealandpol","false","",""
"32","运送模式","aigw_transportmode","true","Picklist","130","aigw_transportmode","aigw_transportmode","false","",""
"33","一次性/持续性","aigw_spotcontinuous","true","Boolean","130","aigw_spotcontinuous","aigw_spotcontinuous","false","",""
"34","决裁者","aigw_decider_choice","true","Picklist","130","aigw_decider_choice","aigw_decider_choice","false","",""
"35","负责人","ownerid","true","Owner","145","ownerid","ownerid","false","",""
"36","修改时间","modifiedon","true","DateTime","155","modifiedon","modifiedon","false","","modifiedon desc"
